Caller_ID,Dummy_Email,State,Days_in_Between,Test_variable,Outcome
85853681OXSHKLQF,0,0,200,1,0
32489835PDRMEFRE,0,0,200,0,0
95680380PSXYQUNA,0,1,200,1,0
81182678VUETALBO,0,0,200,1,0
06099256VPWJRWFD,1,1,200,1,0
44224098HLKRVWRS,0,0,200,0,0
21132747WHBTARMU,0,0,200,0,0
85080592TEFIPACV,0,1,90,1,1
27774163YNIBXHTR,0,1,200,1,0
08932600NHDIQWYB,0,0,200,0,0
18273495GPRWPWAK,0,0,200,0,0
49513697YVISWSPD,0,0,200,0,0
73162888KLIPQBLV,0,0,200,0,0
67153805MELQTWOU,0,1,200,0,0
64902456ZDPUPKDN,0,0,200,0,0
55132456SXGESBLL,0,0,200,0,0
50707104RPRTNONP,1,1,200,1,0
07260235UDKMMPIW,0,1,200,1,0
99136951HPZUNLZO,0,1,200,1,0
54617143WVOGUDNF,0,0,200,0,0
76433980LPOHRZIV,0,0,200,0,0
71033300DLLXXKPY,0,0,200,1,0
31411668OZHNREIE,0,1,200,0,0
94027942UWNSDNUB,0,1,200,1,0
44958535IYMTFYJI,0,1,200,0,0
51474754NRFMTRQK,0,0,200,0,0
73665774HMDEVHQQ,0,0,200,1,0
41108473VHLUJCXQ,0,0,200,0,0
52275579QMOJBBEY,0,1,200,0,0
04203839VUKLAQOS,0,0,200,0,0
40329210RMBGCEIE,0,1,200,0,0
17624072NQECDZHA,0,0,200,1,0
64861741VMCMGOGO,0,0,200,0,0
99264437UDIXWXIX,0,0,200,1,0
74077477EAUMVYNR,0,1,200,0,0
30011171MQEGYQSI,0,1,200,0,0
32470737XORZHUCE,0,1,200,0,0
45996122KDJQALSZ,0,0,200,1,0
20852350KSIGGAKG,0,0,200,1,0
03692580SPNYDEWG,0,0,200,0,0
94031884JOOKIHTC,0,0,200,0,0
86506709TBYMGXTQ,0,0,200,0,0
18309717JOQUOWHD,0,0,200,0,0
07288316TFGYXRKQ,0,1,200,0,0
97914422AUVDUMDA,0,0,200,1,0
06718242GJKGAZIQ,0,0,200,0,0
60518265UEUPODHX,0,0,200,0,0
77551324NXLJJKBB,0,1,200,1,0
33959188AECGOCMG,0,0,200,0,0
16936119VSNYRJPU,0,0,200,0,0
46534948RPXHUKVN,1,1,200,0,0
43878564KSGZSOTZ,0,0,200,0,0
14037631WFZNLBTP,0,1,200,1,0
35404407PESHOIQA,0,0,200,0,0
06360765MOGWMCTS,0,1,200,1,0
25122225XLFEHJLM,0,1,200,0,0
95353915HATUHNNK,0,1,200,1,0
36878275PZVQABCZ,1,0,200,1,0
49032761BPTOKFCG,0,1,200,0,0
95364843SXTRCUKO,1,1,200,1,0
10910833WJQTGTDC,0,0,200,1,0
48360847GDASCQHD,0,0,200,0,0
64973470DHSISTGE,0,0,200,1,0
80130128GORKSYCJ,0,0,200,1,0
34320817MVPJETWC,0,0,200,1,0
07690150BULYGOLS,0,0,200,1,0
71267748OFVXXIJO,0,1,200,1,0
92101850NZESMOIA,0,0,200,1,0
62485221UIVDLWUB,0,1,200,0,0
31910952RQJAFAEC,0,0,200,1,0
06154145VMCYLXUM,0,0,200,1,0
32378958XREDDIGZ,0,1,200,1,0
38136637NLTHMLKE,0,0,200,0,0
34556842BWQHEASA,0,0,200,1,0
42709462FYUXWHKN,0,1,200,1,0
70438443CDRCQYMZ,1,0,200,1,0
74915549NUNPWJYF,0,0,200,0,0
57329005AHZILIFG,0,1,200,0,0
41695096DONVBPLI,0,0,200,0,0
73776319DSKZRLIQ,0,1,200,1,0
97562652QPFALUHW,0,0,200,1,0
54381611DAVOGUDQ,0,0,200,0,0
85461042UZLXGUOY,0,0,200,1,0
38168032GMEEKCQQ,0,0,200,1,0
60763863JEUEDAJZ,0,0,200,1,0
42988027ZXCKXUAU,0,1,200,1,0
27903814KHJBRONW,0,1,200,0,0
91597994DAIEUWFK,0,0,200,0,0
97052326CEEANCXS,0,1,200,1,0
88156644HZXOHNVB,0,0,200,0,0
25884457BZPNPQID,0,1,200,1,0
21458016MSHUEDNL,0,0,200,0,0
57987355QSCPDBOB,1,1,200,1,0
52002771KJFADSVQ,0,0,200,1,0
95930883IBKLLZKQ,0,0,200,0,0
71451519EGCJTXDJ,0,0,200,1,0
54328675RBUQQPHN,0,1,200,0,0
71852683SBEPUPCV,0,0,200,0,0
46577376DTRTXPUT,1,0,200,1,0
84390644YKTKXNXO,1,1,200,0,0
07130048MFHCDPYS,0,0,200,1,0
17440264SAGBYZSR,0,0,200,0,0
73526291DRIUCJZH,0,0,200,0,0
83559451LHCUAFYT,0,0,200,1,0
18086538MZFGFFTH,0,1,30,1,1
67263455BSQENKJP,0,0,200,0,0
45765101ZFNNNPJU,0,1,200,0,0
56847278FFISURHJ,0,0,200,1,0
14330064YUGZUEEZ,0,0,200,0,0
38297698NQJIEDHS,0,0,31,1,1
92698476DJPPYUNF,1,0,200,1,0
59285606DROXIGGM,0,0,200,1,0
23915292XZKICOXA,0,0,200,1,0
63929822SIBPACCI,0,0,200,1,0
96120516DLLITONT,0,0,200,0,0
12899781NXZCRJAF,0,1,200,1,0
80827706WHBDSDOV,0,0,200,0,0
73932335SVIHIFHI,0,0,200,0,0
36854393GIZMEDRD,1,1,29,1,1
09205528GMKRJUXM,0,0,200,0,0
70629670ZTWHNBAI,0,1,200,0,0
07859326RUQGTKEE,0,1,200,1,0
39140961CNQALVDJ,0,1,200,1,0
67697231NKTKDYUH,1,1,200,1,0
95348294QRKDOIHF,0,1,200,0,0
05334034DMHRGBJP,0,1,31,1,1
44395993LNANGHPR,0,1,200,0,0
47939047BMYCVSXG,0,0,200,1,0
33161752HYDENQKM,0,1,200,1,0
41044328AYGDJPBB,0,0,200,0,0
11175821TBBSKVRJ,0,0,200,0,0
76783404ULTRAKJX,0,0,200,0,0
26411267WLFAXDQY,0,0,200,0,0
72535168IUDJYABX,0,0,31,1,1
66920459SKBDLSWS,0,0,200,1,0
41303547VBSTKYWD,0,1,200,1,0
39573156XPXIVAUF,0,0,200,1,0
98987746CSFZNFJM,0,0,200,1,0
52402248CKLFBJVO,0,1,200,1,0
86698274GKNWPRPI,1,1,200,0,0
39136683LIZHMAOJ,0,0,200,0,0
56830853FYNDXDLY,0,0,200,1,0
97651832YIDOKIYU,0,1,200,0,0
61742879WAQYXNTI,0,0,200,0,0
18865788NQVPXSYY,0,1,200,1,0
13385712CQQKVCVG,0,1,200,1,0
18180904HIEEDXCY,1,1,200,0,0
32597460SCPZKXYI,0,0,200,1,0
35946450AVEHMJGD,0,0,200,0,0
13325639NHLALYBU,0,0,200,1,0
14579944CSGACKPQ,0,0,200,0,0
81818586IXLVZWYZ,0,0,200,1,0
32129416NEIGYBDK,0,1,200,0,0
67176342OAUWWCTD,0,0,200,0,0
69883309NANDEDMB,0,0,200,0,0
73968156TOQFCBJI,0,1,200,0,0
81144883WQVCMZQW,1,1,200,1,0
18562663NPYGKTCB,0,0,200,1,0
96648969PKYEIMEV,0,1,200,1,0
33686702QFWUIDMM,0,0,200,0,0
46447545YYJWUWQP,0,0,200,1,0
71115017KEZGWOWA,0,0,200,0,0
68337778OYBSBHAD,0,0,200,1,0
94439177ZKKUKHJU,0,1,200,1,0
26414872WEXBBBUY,0,1,200,1,0
22867023WHEWFDFA,0,1,200,0,0
31168580CGUQKFEK,0,1,200,1,0
82747267RPCJLKFB,0,0,200,0,0
81045571QUPJZQWO,0,1,200,1,0
30978917BFLGFACS,0,1,200,0,0
08962996JBRWQGUQ,0,1,200,0,0
52984856TCSEOMMR,0,0,200,0,0
38744581JHESDNLT,1,1,200,1,0
34664528HHFTNNIP,0,1,200,1,0
15697621TJXXUBEO,0,0,200,0,0
60640503XMBAYMMD,1,1,200,1,0
24634736SUAQSEBT,1,0,200,0,0
39976421DDHSDOJN,0,0,200,1,0
67613359AODKKERZ,0,0,200,0,0
30887719SUQFGWUE,0,1,200,0,0
42333617YKJWXPNP,0,0,200,0,0
67321519TXHGVLCH,1,1,200,0,0
21767220VXMDWTTD,0,0,200,1,0
06128867CLETARSW,0,1,200,1,0
56895604BZVXIOOY,0,0,30,1,1
13592043WFEDNQHH,0,0,200,0,0
99131886JEWYGEJQ,0,1,30,0,1
39538292JFXECCDS,0,0,200,0,0
16417705LESIZZYS,0,1,200,0,0
49897386TOOVUVUI,0,0,200,1,0
77002376SJXVKHIR,0,0,200,0,0
52795237KVLZHHKY,0,0,200,0,0
42006263VISXXNVD,0,1,200,1,0
14688091DDLTVFMS,0,1,200,0,0
13964839YUBQEIQR,0,1,200,1,0
42460451LUYVVNLJ,0,0,200,1,0
42986124RLGUZOYZ,0,0,200,1,0
46638308HFCWSEAV,0,1,200,0,0
54842096GDXMGMZJ,0,1,200,1,0
60625223SKTGKOAD,0,0,200,1,0
07861938PFTITXNL,0,0,200,0,0
42863694OLLEVPVN,0,0,200,1,0
85909860FYBKCREK,0,1,200,0,0
39652385ABJOPIWK,0,0,200,0,0
02912930ZKPHNCFE,0,1,200,0,0
12683030CCOIMRII,0,1,200,1,0
82656947ZNDTYAJQ,0,0,200,1,0
49743028QJBMFFQT,0,0,200,1,0
69805255BSWMKGPX,0,0,200,0,0
92058278SHXATKLG,0,0,200,1,0
52720738QYXENZYN,0,1,200,1,0
77074028HDABUOWJ,0,1,200,1,0
06620882IRYSDOFZ,0,0,200,0,0
21175315WEOOMQBZ,0,1,200,0,0
79441430TXFRLNHF,0,0,200,1,0
50760643USDHREZM,0,1,200,0,0
05778288DAGGNVZB,0,1,200,0,0
60781856ZKXPMVAT,0,1,200,1,0
07599935UPLATIGH,0,0,200,0,0
17825582YVADUFWK,0,0,200,1,0
23324056TBTYGZDO,1,1,200,1,0
24473750PYWWDNHT,0,1,200,0,0
74544260HHUUMRFC,0,1,200,1,0
40201009NQXCKREP,0,0,200,0,0
26694082KLLWJQTW,0,0,30,1,1
34087151VPECHNKU,0,0,200,1,0
16706959TLEVLREA,0,1,200,1,0
58441547TLNXICFV,0,1,200,0,0
96280381LNGQIJXV,1,1,200,1,0
00538246ISKOJQSO,0,0,200,0,0
30796839YRFDNQMX,0,1,30,1,1
23825856ICCHYQXX,0,1,200,1,0
56696742QWHFZOTU,0,0,200,0,0
27971775QEYVDEQN,0,0,200,1,0
10144596ZVYMHJCD,1,1,200,1,0
03845490IBZFMQHS,0,0,200,0,0
18941726YBYEWYPJ,1,1,200,0,0
12735352AZTUHXTW,0,0,31,1,1
03982905BUTDGBSE,0,0,200,1,0
50563396RUXKXZIQ,0,1,200,0,0
29520620YZVJLBUD,0,0,200,0,0
00945460AJZQVZFD,0,1,200,1,0
95553154CCNNHKFM,0,1,200,1,0
94827694VVRRDIMM,0,1,200,0,0
02681589LRTYWKET,1,1,200,0,0
81997214OOEKQCCZ,0,1,31,1,1
64127952VBEWJOGI,0,1,200,0,0
59663493LLOQSUGD,1,1,200,0,0
32042972IWACFUWM,1,1,200,0,0
28579236PBRMFASI,1,1,200,1,0
44067383SKHUJPZC,0,0,200,1,0
08087231NBSSMASJ,0,1,200,1,0
49052782GGHADGBK,0,1,200,1,0
60598708YRFRSHFP,1,1,200,0,0
39116235DZOFTXNB,0,1,200,0,0
12683965JDNLXXNW,0,0,200,1,0
12045539YPNMBXYJ,0,1,200,1,0
72832528GXCAHKJI,0,1,200,1,0
44932375HYQLYFKX,0,0,200,1,0
06932578IGOUMXKA,0,0,200,1,0
19502562HVNNBLSQ,0,0,200,0,0
64293406BHFATPIQ,0,1,200,0,0
25194402ZVOMZJPD,1,1,200,1,0
86994578PPVBFCPO,0,1,200,0,0
54864505UYMFEGBO,0,0,200,1,0
60325690APAKKRYI,0,1,200,1,0
79348118BCKHXMQG,0,0,200,1,0
89375954CKYECNEB,0,0,200,1,0
24615019AURLHDCI,0,0,200,0,0
75519167YOAIUTEU,1,1,200,0,0
87832242ATCLBNIV,0,0,200,1,0
17756748BUNLGZGW,0,0,200,0,0
23131887NOSMDFET,0,0,200,0,0
71378823IAUKRCDJ,0,0,200,0,0
18085862KOBMYNVZ,1,1,200,1,0
56023415WHEIFJJI,0,0,200,1,0
29788310DXSYOYWT,1,1,31,1,1
93356083VMYGQPLU,0,1,200,0,0
78903071PVZGDLII,0,1,200,1,0
17485220BIWSASBU,0,1,200,0,0
50668705TZKLNLIT,0,0,200,0,0
27340018NWSXMYJR,0,1,200,1,0
92486801SHVFQQPV,0,1,30,1,1
01135326WDKCXMUS,0,0,200,1,0
30698933SDFYSZOM,1,1,200,0,0
11393624BBORNUGB,0,1,200,0,0
68298765KPLKNVIQ,0,0,200,0,0
21920834RJIYDZZU,0,0,200,0,0
33505806VEVPEFKY,0,0,200,0,0
47678843KOIPKWGW,1,1,200,0,0
25209946NEOUXTOE,0,0,200,0,0
44863600BZCVVSGH,0,0,200,0,0
43089388GOVMKVXV,0,1,200,1,0
28395087KYYJELGX,1,0,200,1,0
48195221MJEYYEQG,0,0,200,1,0
10077034FTWAAYLW,0,0,200,1,0
88341928WZUQYFUR,0,1,200,0,0
43707548MDYFTZMI,0,0,200,0,0
81240489LATKPMUD,0,1,200,1,0
16137924CXDRZFOP,0,0,200,1,0
34422572IRHIKCVG,0,1,200,0,0
97906195ALNIJQYA,0,0,200,0,0
25932316JQABUQXJ,0,0,200,1,0
28779391AEPRXUZX,0,0,200,0,0
36196794VBGTHJKW,0,0,200,0,0
63514047LXQMCMLE,0,0,200,0,0
08748688IPRLNSTI,1,1,200,0,0
07327371VVXOASBK,0,1,200,0,0
40551699QBCTGYPS,0,0,200,0,0
47383194BOIVWYSJ,0,0,200,1,0
47356749GIALQGWZ,0,0,200,1,0
06123486LYSMVUND,1,1,200,0,0
04953785VVQZVFRX,0,0,200,1,0
95303459RUNEDOSY,1,1,200,0,0
44822036LPRSKAXG,0,0,200,1,0
95543805TXRIOKNY,1,0,200,0,0
54766599BWORMKNV,0,1,200,0,0
29075485NNCEYRQR,0,0,200,0,0
12053578EVHTZAMG,0,0,200,1,0
80646972KDTKPFRG,1,1,200,1,0
40933601TAIRRFJW,0,0,200,1,0
76022759DOUNCXEO,1,0,200,1,0
19343233SJNXVRRD,0,1,200,0,0
11121265VWSUPFBQ,0,0,200,1,0
10130438CRUKLBYN,1,1,200,1,0
38496920NQTBCSAD,0,0,200,1,0
98958045HHMZGKJA,0,0,200,1,0
06469145UIYGXNOR,0,0,200,1,0
22187789RIOYSTIF,0,0,200,1,0
17386645KHEWXXXE,0,0,200,0,0
00350379QZZFRSIX,0,0,200,0,0
09624469TUGRXIWN,0,0,200,0,0
63833961MNCYPZZY,0,0,200,0,0
67387429ZDVXXDQA,0,1,200,1,0
64442701WWLJENKL,0,1,200,1,0
58890806WPIJAHKZ,0,0,200,0,0
21002280HIIHXRDL,0,0,200,0,0
02989059SJDJDZSK,0,1,200,1,0
11906977PUFIPKVM,0,1,200,0,0
87779631VEHGRDKP,0,0,200,0,0
29952525OVHHYROI,0,0,200,0,0
37443529KTXJYTDX,0,0,200,1,0
19565728WQGNAHFT,0,0,200,0,0
20887694NGJWPKWV,1,1,200,1,0
28128457RIRJEXMB,0,1,200,0,0
62705459QAMHBRFA,0,0,200,1,0
59398996DCOZBLIV,1,1,200,1,0
16563525YWLVNSTD,0,0,200,0,0
31067815EYBZMGJT,0,1,200,0,0
53041861QVXOPELW,0,0,200,1,0
02075865YXAPXUIZ,0,1,200,0,0
87514463HPJWBBHA,0,0,200,1,0
53402402MANZPAXO,0,0,200,1,0
97991412BPWTRKPN,0,1,200,1,0
13577894ENICLVNS,0,0,200,1,0
23517842FPREXHIW,0,0,200,0,0
35522843WWHTKCPH,1,1,200,1,0
57922107WQQUUQQU,0,0,200,0,0
02097717MEMMKLLQ,1,1,32,1,1
83938636QGPQNZGH,0,1,200,0,0
55884024JAANGURI,0,1,200,0,0
79024423VBLYCPQJ,0,1,200,1,0
78170757PWURXRYC,1,1,200,0,0
41778285YYJBRGED,0,1,200,0,0
20070078BCXWYHPB,1,1,200,0,0
93664770RROEKZLD,0,1,200,0,0
56976166KGPBHBYH,0,0,200,1,0
78534059NVRDOEGA,0,0,200,1,0
61224113GVGBMBHR,0,0,32,1,1
13661794AUWWMLYS,0,1,200,0,0
99429423DUMPLGSZ,0,1,32,1,1
04760706MZRMUQGX,0,1,200,1,0
46511198NPKFBXDG,0,1,200,0,0
17534198QTWYGCHA,0,1,200,0,0
13123444ADBSOCFW,0,0,200,0,0
16751919LCDDJOAM,0,0,200,1,0
63375168YVKQNVJT,0,0,200,1,0
97541211SNUKWEJO,0,0,200,1,0
79174590XHORQEST,0,0,200,0,0
21562326EWCSQJSP,0,1,200,0,0
74243992GBETIIMZ,0,0,200,1,0
04170501ULVAYYZP,0,0,200,0,0
87604851DQEFGDNB,0,1,200,1,0
85095484NFKICWJH,0,0,200,1,0
15769635OPMOHLMK,0,0,200,1,0
58201853TUJXEFVJ,0,1,200,1,0
58020775XSPQJAIP,0,1,200,0,0
46025659JTCDSIJG,0,1,200,1,0
35809555UGUPDPRG,0,0,200,0,0
45563243FWITZTMT,0,0,200,0,0
35468514LVCHHWHO,0,0,200,1,0
01880357GJFDDESJ,0,1,200,1,0
80959922SQPPFBLJ,1,1,200,1,0
99159884XXNWCDAJ,0,0,200,0,0
02129365CGWSALIS,0,0,200,0,0
35155937TMNZJTAR,1,0,200,0,0
99501919UFORUPAU,0,1,200,0,0
13287332OBPKQQEU,0,0,200,1,0
08556132MGCGMDKT,0,1,200,1,0
30922683FIBZYTYX,0,0,200,1,0
33956105SHRJLEOL,0,1,200,0,0
82469122VPFWCBYT,0,0,200,0,0
82789236YGIYBPOB,1,1,200,1,0
32091171WMKDRYBK,0,0,200,1,0
89118416LTISSISC,0,0,200,0,0
17625127QEAUZDYD,0,0,200,0,0
52133697BUKDGBDL,0,1,200,1,0
70552444IPPKAUGZ,0,0,200,0,0
50093776BTKACMSU,0,0,200,1,0
47466966BRABLUAZ,0,0,200,1,0
40076918NDSFOXBB,0,0,200,0,0
96776799KILIOYZW,0,1,32,1,1
56717542HKTWPMKO,0,1,200,0,0
29766266CXFSPYMZ,0,0,200,0,0
28590394OOMRKVJJ,0,0,200,1,0
67640095KCGNLQMI,1,1,32,1,1
31805385RKIQCBUA,0,0,200,1,0
60589026YXIPZWWX,0,1,200,1,0
64788380NKWQVRST,0,0,200,0,0
29953854ZSSBPHAG,0,0,200,1,0
86299665OZGLGSUE,0,0,200,1,0
75967263JNPVMLQZ,0,0,200,1,0
75411268KRBXYNIZ,0,0,32,1,1
67874179RKCRUAWU,0,1,200,1,0
11435109JYTKVSDD,0,0,200,0,0
95765961MLEASTVO,0,1,200,1,0
47021122GTJNKZWE,0,0,200,0,0
36351534KZMNSLJJ,0,1,200,0,0
17881568WHVJJBGL,0,0,200,0,0
55653968KCXBXLVS,0,0,200,1,0
44309755TGTEDXIS,0,0,200,0,0
02835505DNUKQTCS,0,0,200,0,0
48268237DSAXIJDE,1,0,200,0,0
21971094EXDYFLNW,1,1,200,0,0
46472672HLCRWJDC,0,0,200,0,0
98278691JNYXBCGV,0,0,200,1,0
02346876YHWLBEYQ,0,0,200,0,0
64597612FPMGBVOW,0,0,200,0,0
65416328SSTJYQUN,0,0,200,0,0
25509569UDRGZMZW,1,1,200,0,0
77257876KPLCWMUB,0,1,200,0,0
46831996LBELVMWC,0,1,200,1,0
54399548IZVPVXID,0,0,200,1,0
72564199VLYULCGT,0,0,200,1,0
16311170CXECIIHB,0,1,200,1,0
56588160UFOKFDHF,0,0,200,0,0
76264650IDHURTCY,1,1,200,1,0
46075824GHWLITOB,0,0,200,0,0
70526219RNCGOMWC,0,1,200,1,0
19243438IYWNMZQN,0,0,200,1,0
70819847VSMZLBAV,0,1,200,0,0
29884021FLPNQROI,0,1,200,1,0
87504552OYKMTMCR,0,1,200,1,0
13129252XRHIUEHI,0,1,200,0,0
59089349YNYHLTEG,0,0,200,1,0
52870925HRLSPLFC,0,0,200,1,0
27144827VTFXPHPA,0,1,200,1,0
01017925SVDFHQPP,0,0,200,1,0
25515046NJONQKOY,0,0,200,0,0
06283558BMSMTVXD,0,0,200,1,0
20818892ELMWVVCT,0,1,200,1,0
11615461ZXAWBHGD,0,1,200,1,0
33777390NOGPUWAH,0,0,200,1,0
43195467SRQOHFKG,0,0,200,1,0
54236808XYNYJUKU,0,0,200,1,0
41261457HYIDPHNA,0,0,200,1,0
97711979MCMXNKBS,0,0,200,1,0
68551011ZLEEGEXF,0,1,200,1,0
58813424UBCGRPCC,0,0,200,1,0
03297744DYRAWADC,0,0,200,0,0
46983997ZWWVETSI,1,1,200,0,0
92562159SMZJXUEN,0,0,200,1,0
82723538SZMJKGYV,0,0,200,0,0
52048507YVLHLVVT,0,0,200,0,0
98242680JQQKFCBY,0,0,200,0,0
85369911XQDGCDHI,0,0,200,1,0
09010697FDIQRKHP,0,0,200,1,0
15023463ADMPRIHP,0,1,200,0,0
51467305DMKXBTUR,0,0,200,1,0
98800317TBVHSWUP,0,1,200,0,0
70244904LWHFATCB,0,0,200,1,0
09825213CSNQKVVK,0,0,200,1,0
04776845LUQYJRFF,0,0,200,1,0
31466274VEMMBHOM,0,1,200,1,0
83515971GJYVVZVV,1,1,200,0,0
26198409TVSIJMQG,0,1,200,1,0
22354095TSRGVALG,0,0,200,1,0
63173057PPZVXQWZ,0,0,200,1,0
42379553EJHNHGYV,0,0,200,0,0
91507641ZFYKINMJ,0,0,200,1,0
96843681CPDSEIGK,0,0,200,0,0
54085294UYLMGDXO,0,0,200,0,0
44098361IWKKNDMR,0,1,200,0,0
45395803NWKYHAKG,0,0,200,0,0
38604594AUPPRDQL,0,0,200,1,0
04185301CSZPRZXR,0,1,200,0,0
98272716NYZLVBCI,0,1,200,0,0
75302807XNOZYIVV,0,0,200,0,0
98693749FLCIBMQX,0,1,200,1,0
72743121IMVEJEED,1,1,200,0,0
31162535HSZEOUCV,0,0,200,0,0
08948916ZLRPAPEG,0,0,200,0,0
81836324TEPUSKDB,0,0,200,0,0
78572537BLQTCNPI,0,0,200,0,0
23290047LHZRRWDB,0,1,200,0,0
47667436UYNXHNGL,0,0,200,0,0
88686224GUROGYZD,0,0,200,0,0
19526266PRLIHXUU,0,1,200,0,0
54607557ZXPXGOGD,0,1,200,1,0
72790453IDSASPWU,0,0,200,1,0
19522679JKTOYJHE,0,0,200,1,0
55287970HHSPOQVJ,0,1,200,1,0
84395205EBANTIJF,0,0,200,0,0
72257322TVDADLAF,0,0,200,0,0
38334854ZRELJJHL,0,1,200,0,0
68215382GSJBTUCK,0,0,200,1,0
10422491CLOEFIWG,0,0,200,1,0
51094035KHEAMSCQ,0,0,200,1,0
03662310ZJXRSMWC,0,1,200,0,0
97365910ECGFCEGM,0,1,200,0,0
21251538AFKHBHGC,0,1,33,1,1
72668380SPEULDPU,0,0,200,0,0
62435567PWIZCCGR,0,1,200,0,0
30464006BQODXOTI,0,0,200,1,0
41803511JVELTERC,0,0,200,0,0
30293509KNUEXSPS,0,0,200,1,0
30050127YEHXPCER,0,0,200,0,0
65580205RQRJNRPA,0,1,200,1,0
27922892AKVIMODL,0,1,200,0,0
48265395HTXCLGYP,0,1,200,0,0
86139418ZQPFYWDW,0,0,200,1,0
45622925JDXZHQMV,0,0,200,0,0
23984006IZZLEAQQ,0,1,200,1,0
99793844XLESLHZU,0,0,200,0,0
33972669QDFMGATQ,0,0,31,0,1
06457219CYVNZUAI,0,0,200,1,0
43124778DQWWRBFA,0,0,200,0,0
52273193QHCIMONZ,1,1,200,1,0
56285022AJFQERIO,0,1,200,0,0
37812557RADQOSUH,0,0,200,1,0
81035606HMLBEJJV,0,0,200,1,0
61542013OMASTKXH,0,0,33,1,1
15184413ARZGMXIB,0,0,200,0,0
80506250KMUQMTYU,0,0,200,1,0
35582949WUEZNUJM,0,1,200,1,0
39414521WCNLHCPI,0,1,200,1,0
54241448UDTMKZWY,0,0,200,1,0
24255290ZNJVPCDE,0,0,200,0,0
74000103HPYERNHK,0,0,200,0,0
77179019RMWVKLRM,0,0,200,0,0
18145661NPXWINTM,0,0,200,0,0
07046174OXZZZUAT,0,1,200,0,0
13826333BRJTAZGQ,0,0,200,0,0
23443044JGXGYRYW,0,0,200,0,0
83654462SAUIIRAT,1,1,200,1,0
